,rid,created_at,cleaned_text,followers,retweets,favourited,label
0,552783667052167168,07 Jan 2015 11:07:51,france people dead shooting hq satirical weekly newspaper charliehebdo according witnesses httptcofkyxgmus58,129573,486,38,1
1,552783745565347840,07 Jan 2015 11:08:09,ten killed shooting headquarters french satirical weekly charlie hebdo says french media citing witnesses c4news,529882,127,15,1
2,552784168849907712,07 Jan 2015 11:09:50,breaking dead shooting headquarters french satirical weekly charliehebdo french media citing witnesses france,499741,105,15,1
3,552784526955806720,07 Jan 2015 11:11:16,reuters people shot dead headquarters french satirical weekly publication charlie hebdo paris gunmen stormed office,1377384,412,32,1
4,552784600502915072,07 Jan 2015 11:11:33,charlie hebdo became well known publishing muhammed cartoons two years ago,41591,202,41,2
5,552784882687299584,07 Jan 2015 11:12:40,people died shooting paris hq french weekly charlie hebdo reports say httptcoxck8ly9ier httptcovsoyscgabx,1787519,510,48,1
6,552784898743099392,07 Jan 2015 11:12:44,charlie hebdos last tweet shootings httptco9oa2xaqocm httptcoskjhneqcn0,139847,144,20,2
7,552785367972450304,07 Jan 2015 11:14:36,french radio europe1 says attackers offices paris weekly ran yelling allahu akbar charliehebdo,2835,143,21,3
8,552785375161499649,07 Jan 2015 11:14:38,breaking reportedly shot dead paris hq french weekly charlie hebdo httptco5f1dowzocq,972167,128,5,1
9,552785391653494784,07 Jan 2015 11:14:42,prediction charliehebdo massacre dent political classs complacency one iota,22568,103,62,2
10,552785443813457921,07 Jan 2015 11:14:54,breaking news ten dead shooting headquarters french satirical weekly charlie hebdo french media reuters akhbar,85229,119,22,1
11,552785551930454016,07 Jan 2015 11:15:20,witness says multiple gunmen involved shooting paris hq french satirical magazine charlie hebdo ap httptcozfjyh80uxy,7193949,179,31,3
12,552785695845396480,07 Jan 2015 11:15:54,breaking people shot dead headquarters french satirical weekly publication charlie hebdo paris gunmen stormed office,18278,114,7,1
13,552786016906383360,07 Jan 2015 11:17:11,breaking paris dead attack satirical paper poked fun mohammed httptco4qqvijlp8a charliehebdo httptcokqqecewknq,20573,254,48,1
14,552786099899494400,07 Jan 2015 11:17:31,breaking paris police say shots fired satirical newspaper charlie hebdo witness says multiple gunmen involved,4730247,114,43,3
15,552786116404072448,07 Jan 2015 11:17:35,28am charlie hebdo account mocks isis leader wishing good health best wishes httptco9oa2xaqocm httptcouyxaykla7q,139870,116,22,2
16,552786299875520512,07 Jan 2015 11:18:18,faith isnt strong enough cope satirical poke oughtnt strong enough induce kill barbaric charliehebdo,2327,105,55,2
17,552786340958715904,07 Jan 2015 11:18:28,arrived scene massacre paris charliehebdo httptcobxdwfuqrz8,8134,167,24,2
18,552786361758265344,07 Jan 2015 11:18:33,breaking reported dead charlie hebdo hq shooting local media httptcoq27xnp3as3,842441,118,22,1
19,552786818853113857,07 Jan 2015 11:20:22,armed kalachnikovs amp rocketlauncher men open fire french satirical mag charlie hebdo published prophet mohamed cartoons afp,85236,180,21,1
20,552787144373460992,07 Jan 2015 11:21:40,police car bullet holes front charlie hebdo headquarter photo williammolinie httptcolzqdhj6kxr,9027,398,53,2
21,552787144415404032,07 Jan 2015 11:21:40,police car bullet holes front charlie hebdo headquarter photo williammolinie httptcok6inhbmgsf,6485,112,11,2
22,552787231468191744,07 Jan 2015 11:22:00,paris police dead injured charliehebdo shooting,6975,116,12,3
23,552787321561812992,07 Jan 2015 11:22:22,every newspaper europe publish cartoons charlie hebdo tomorrow every single one,6139,1610,759,2
24,552787361437057024,07 Jan 2015 11:22:31,jews catholics muslims white people black people everyone attacked charlie hebdo yet reacts like httptcofkvhfjxpoo,37176,4174,1568,2
25,552787544837197824,07 Jan 2015 11:23:15,breaking ten shot dead gunmen storm hq satirical magazine charlie hebdo paris httptcoygynd65mr8 httpstcobfvhx422js,159617,133,6,1
26,552787599031828480,07 Jan 2015 11:23:28,massacre dead employee charlie hebdo tells french media outlet call disconnects httptcoq27xnp3as3,842395,115,21,2
27,552787878351474688,07 Jan 2015 11:24:35,confirming dead paris charliehebdo shooting via prosecutors office afp,2064,196,7,1
28,552787914271510529,07 Jan 2015 11:24:43,religion religion offlimits open debate dangerous situation freedomofexpression charliehebdo,19303,158,61,2
29,552788007603142656,07 Jan 2015 11:25:05,charliehebdo published cartoon notorious isis leader last week theyve tweeted pic httptcoyyyxznaffb,44878,219,54,2
30,552788396733906944,07 Jan 2015 11:26:38,breaking armed men attack offices french satirical magazine charlie hebdo killing least police say httptcotyceemkwoo,5577526,279,33,1
31,552788555584765952,07 Jan 2015 11:27:16,right mock amp criticise religion key tenet free democratic society whether islam christianity charliehebdo,22212,172,88,2
32,552788720236376064,07 Jan 2015 11:27:55,french newspaper charlie hebdos last tweet gunmen attack httptcovsjid0ewrk httptcoyjhgbhixq6,818578,213,27,2
33,552788886355996672,07 Jan 2015 11:28:35,ten people killed attack offices satirical french magazine charlie hebdo paris prosecutors say httptcoczyz6voztw,12907826,1276,214,1
34,552788945017516032,07 Jan 2015 11:28:49,appalled attack charlie hebdo paris probably journalists confirmed dead attack free speech everywhere,19332,166,64,1
35,552788947219533824,07 Jan 2015 11:28:49,update telegraph reporter henry samuels tells sky news people killed shooting charlie hebdo headquarters paris,1377482,105,11,1
36,552789127792717826,07 Jan 2015 11:29:33,confirmed people dead shooting centre paris many believed journos working charliehebdo,2866,121,11,1
37,552789196906459136,07 Jan 2015 11:29:49,todays charliehebdo cover houellebecq ill observe ramadan httptcog7zbita3cj,6975,133,28,2
38,552789252690706432,07 Jan 2015 11:30:02,charliehebdo httptco9zzpyzcaj8,14101,627,222,2
39,552789443644751872,07 Jan 2015 11:30:48,cartoon charliehebdo staff shot publications show solidarity republish httptcolguui7dj1u,2292,493,167,2
40,552789521646247936,07 Jan 2015 11:31:06,french official says attack paris weekly charliehebdo kalachnikov automatic rifles rocket launcher unprecedented afp,2818,426,44,1
41,552789550238801920,07 Jan 2015 11:31:13,solidarity charlie hebdo httptcogvlp0nwlax,2318,334,98,2
42,552789583260577792,07 Jan 2015 11:31:21,charlie hebdos nov charia hebdo guestedited muhammad lashes whip dont die laughing httptco5ezg448cnm,14311,303,70,2
43,552789886202175490,07 Jan 2015 11:32:33,charlie hebdos last cartoon twitter abu bakr albaghdadi saying especially health new years greeting httptcoumewder6z4,27355,217,44,2
